STDR_YYQU_CD,SUD_CD,RENT_FLOOR_CD,GTN_AVRG,MT_RNTCHRG_AVRG,CNVRSN_RNTCHRG,RENT_CO
20191,1123000938,02,1597620,92831,108807,3
20191,1123000941,00,1101933,44077,55097,1
20191,1123000941,01,1101933,44077,55097,1
20191,1123000942,00,166960,40070,41740,1
20191,1123000942,02,166960,40070,41740,1
20191,1123000945,00,281113,37482,40293,1
20191,1123000945,02,281113,37482,40293,1
20191,1123000946,00,1504173,68671,83713,3
20191,1123000946,01,2203867,91828,113866,1
20191,1123000946,02,804479,45514,53559,2
20191,1123000950,00,528549,55944,61229,2
20191,1123000950,02,528549,55944,61229,2
20191,1123000953,00,286216,35777,38639,1
20191,1123000953,02,286216,35777,38639,1
20191,1123000954,00,3504482,41489,76534,2
20191,1123000954,01,6678384,33392,100176,1
20191,1123000954,02,330580,49587,52893,1
20191,1123000957,00,629676,34632,40929,1
20191,1123000957,02,629676,34632,40929,1
20191,1123000959,00,1252197,75132,87654,1
20191,1123000959,01,1252197,75132,87654,1
20191,1123000960,00,802712,81956,89983,2
20191,1123000960,02,802712,81956,89983,2
20191,1123000975,00,661160,142149,148761,1
20191,1123000975,01,661160,142149,148761,1
20191,1123000979,00,3305800,380167,413225,1
20191,1123000979,01,3305800,380167,413225,1
20191,1123000995,00,616299,50523,56686,2
20191,1123000995,01,616299,50523,56686,2
20191,1123001005,00,1652900,91736,108265,1
20191,1123001005,01,1652900,91736,108265,1
20191,1123001009,00,601055,55097,61107,1
20191,1123001009,01,601055,55097,61107,1
20191,1123001010,00,1252197,100176,112698,1
20191,1123001010,01,1252197,100176,112698,1
20191,1123001021,00,1101933,44077,55097,1
20191,1123001021,01,1101933,44077,55097,1
20191,1123001022,00,2865027,117246,145896,1
20191,1123001022,01,2865027,117246,145896,1
20191,1123001026,00,5165313,206613,258266,1
20191,1123001026,01,5165313,206613,258266,1
20191,1123001047,00,596069,41725,47686,1
20191,1123001047,01,596069,41725,47686,1
20191,1123001052,00,300527,13023,16028,1
20191,1123001052,02,300527,13023,16028,1
20191,1123001055,00,3225171,0,32252,1
20191,1123001055,01,3225171,0,32252,1
20191,1123001057,00,1335677,166960,180316,1
20191,1123001057,01,1335677,166960,180316,1
20191,1123001062,00,185095,18510,20360,1
20191,1123001062,02,185095,18510,20360,1
20191,1123001071,00,2049263,157560,178052,2
20191,1123001071,01,2049263,157560,178052,2
20191,1123001089,00,837183,71053,79425,2
20191,1123001089,01,837183,71053,79425,2
20191,1123001093,00,1416771,66116,80284,1
20191,1123001093,01,1416771,66116,80284,1
20191,1123001110,00,587176,29359,35231,1
20191,1123001110,01,587176,29359,35231,1
20191,1123001121,00,1246531,99722,112188,1
20191,1123001121,01,1246531,99722,112188,1
20191,1123001129,00,2203867,110193,132232,1
20191,1123001129,01,2203867,110193,132232,1
20191,1123001172,00,1271462,101717,114432,1
20191,1123001172,01,1271462,101717,114432,1
20191,1123001186,00,2203867,165290,187329,1
20191,1123001186,01,2203867,165290,187329,1
20191,1123001194,00,569966,34198,39898,1
20191,1123001194,01,569966,34198,39898,1
20191,1123001196,00,3305800,319561,352619,1
20191,1123001196,01,3305800,319561,352619,1
20191,1123001204,00,417399,33392,37566,1
20191,1123001204,02,417399,33392,37566,1
20191,1123001205,00,3144265,49078,80520,3
20191,1123001205,02,3144265,49078,80520,3
20191,1123001208,00,0,82645,82645,1
20191,1123001208,01,0,82645,82645,1
20191,1123001228,00,220387,22039,24243,1
20191,1123001228,02,220387,22039,24243,1
20191,1123001231,00,220387,70524,72728,1
20191,1123001231,02,220387,70524,72728,1
20191,1123001238,00,1763093,24243,41873,1
