STDR_YYQU_CD,SUD_CD,TOT_WRC_POPLTN_CO,ML_WRC_POPLTN_CO,FML_WRC_POPLTN_CO,AGRDE_10_WRC_POPLTN_CO,AGRDE_20_WRC_POPLTN_CO,AGRDE_30_WRC_POPLTN_CO,AGRDE_40_WRC_POPLTN_CO,AGRDE_50_WRC_POPLTN_CO,AGRDE_60_ABOVE_WRC_POPLTN_CO,MAG_10_WRC_POPLTN_CO,MAG_20_WRC_POPLTN_CO,MAG_30_WRC_POPLTN_CO,MAG_40_WRC_POPLTN_CO,MAG_50_WRC_POPLTN_CO,MAG_60_ABOVE_WRC_POPLTN_CO,FAG_10_WRC_POPLTN_CO,FAG_20_WRC_POPLTN_CO,FAG_30_WRC_POPLTN_CO,FAG_40_WRC_POPLTN_CO,FAG_50_WRC_POPLTN_CO,FAG_60_ABOVE_WRC_POPLTN_CO,RELM_AR
20191,1123000212,21,15,6,0,0,8,2,6,5,0,0,6,2,3,4,0,0,2,0,3,1,1225.44547636
20191,1123000213,16,12,4,0,3,3,5,4,1,0,3,1,4,3,1,0,0,2,1,1,0,1361.05161365
20191,1123000214,205,150,55,2,12,46,53,56,36,2,8,35,39,41,25,0,4,11,14,15,11,9506.07577589
20191,1123000215,15,14,1,0,0,4,4,4,3,0,0,4,3,4,3,0,0,0,1,0,0,1592.80154171
20191,1123000216,74,59,15,0,8,25,17,13,11,0,8,21,12,10,8,0,0,4,5,3,3,4814.16819106
20191,1123000217,17,13,4,0,0,5,6,3,3,0,0,3,5,2,3,0,0,2,1,1,0,956.60642855
20191,1123000218,22,19,3,0,1,7,10,2,2,0,1,7,9,0,2,0,0,0,1,2,0,1529.83558997
20191,1123000219,10,8,2,0,0,1,4,4,1,0,0,1,2,4,1,0,0,0,2,0,0,1074.32345325
20191,1123000220,28,25,3,0,5,8,9,5,1,0,4,8,7,5,1,0,1,0,2,0,0,1245.18242562
20191,1123000221,455,225,230,1,116,103,109,79,47,1,47,52,66,34,25,0,69,51,43,45,22,12392.3332501
20191,1123000222,51,40,11,0,8,14,14,9,6,0,8,12,9,6,5,0,0,2,5,3,1,3245.18033155
20191,1123000223,14,11,3,0,3,3,7,1,0,0,2,3,5,1,0,0,1,0,2,0,0,2695.61471883
20191,1123000224,31,23,8,0,6,3,12,6,4,0,4,2,10,4,3,0,2,1,2,2,1,2963.33981399
20191,1123000225,420,324,96,1,35,79,129,98,78,1,28,64,97,67,67,0,7,15,32,31,11,19707.8622913
20191,1123000227,7,7,0,0,1,3,0,2,1,0,1,3,0,2,1,0,0,0,0,0,0,3428.89837173
20191,1123000228,29,18,11,0,9,3,10,2,5,0,3,2,7,2,4,0,6,1,3,0,1,9404.49919757
20191,1123000230,5,4,1,0,0,3,0,0,2,0,0,3,0,0,1,0,0,0,0,0,1,1943.50080997
20191,1123000232,7,5,2,0,0,2,0,2,3,0,0,1,0,1,3,0,0,1,0,1,0,2148.40184801
20191,1123000233,29,25,4,0,1,4,12,5,7,0,1,4,12,5,3,0,0,0,0,0,4,3411.02784581
20191,1123000234,43,29,14,0,6,10,6,10,11,0,5,6,4,5,9,0,1,4,2,5,2,2866.74679435
20191,1123000236,143,105,38,0,6,26,45,46,20,0,6,21,35,26,17,0,0,5,10,20,3,3607.98985246
20191,1123000237,29,24,5,0,3,1,9,11,5,0,3,1,7,8,5,0,0,0,2,3,0,1646.85913787
20191,1123000242,68,45,23,0,15,6,23,18,6,0,10,2,12,16,5,0,5,4,11,2,1,1345.95386629
20191,1123000245,8,6,2,0,0,0,2,3,3,0,0,0,1,3,2,0,0,0,1,0,1,715.106846907
20191,1123000247,48,23,25,0,8,10,5,13,12,0,3,6,2,5,7,0,5,4,3,8,5,6884.19895901
20191,1123000248,22,20,2,0,3,2,4,9,4,0,3,2,4,7,4,0,0,0,0,2,0,1804.11765602
20191,1123000250,13,10,3,0,1,4,2,3,3,0,1,3,2,2,2,0,0,1,0,1,1,4363.73234781
20191,1123000251,5,5,0,0,0,0,0,2,3,0,0,0,0,2,3,0,0,0,0,0,0,2392.94809423
20191,1123000253,2,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1872.75632546
20191,1123000254,199,99,100,0,26,55,50,45,23,0,9,26,25,26,13,0,17,29,25,19,10,8772.93835973
20191,1123000257,3,1,2,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,959.82046766
20191,1123000258,2,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,3039.18561101
20191,1123000259,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,844.24786557
20191,1123000261,18,12,6,0,0,7,6,4,1,0,0,3,4,4,1,0,0,4,2,0,0,820.774754535
