STDR_YM_CD,SUD_CD,APT_HSMP_CO,AE_66_SQMT_BELO_HSHLD_CO,AE_66_SQMT_HSHLD_CO,AE_99_SQMT_HSHLD_CO,AE_132_SQMT_HSHLD_CO,AE_165_SQMT_HSHLD_CO,PC_1_HDMIL_BELO_HSHLD_CO,PC_1_HDMIL_HSHLD_CO,PC_2_HDMIL_HSHLD_CO,PC_3_HDMIL_HSHLD_CO,PC_4_HDMIL_HSHLD_CO,PC_5_HDMIL_HSHLD_CO,PC_6_HDMIL_ABOVE_HSHLD_CO,AVRG_AE,AVRG_MKTC
202212,1123002044,6,66,0,0,0,0,11,32,23,0,0,0,0,234.378787878787878787878787878787878788,1193959090.909090909090909090909090909091
202212,1123002047,3,11,7,0,0,0,0,2,8,8,0,0,0,166.375,800650000
202212,1123002048,5,51,0,0,0,0,0,34,17,0,0,0,0,190.875,1066113636.363636363636363636363636363636
202212,1123002049,1,6,0,0,0,0,6,0,0,0,0,0,0,16.33333333333333333333333333333333333333,73000000
202212,1123002056,6,42,5,0,0,0,1,21,20,5,0,0,0,247.088095238095238095238095238095238096,1273588333.333333333333333333333333333333
202212,1123002057,2,9,0,0,0,0,6,2,1,0,0,0,0,62.57142857142857142857142857142857142857,269928571.428571428571428571428571428571
202212,1123002059,3,24,3,0,0,0,1,22,4,0,0,0,0,133.102272727272727272727272727272727273,526951136.363636363636363636363636363636
202212,1123002060,1,4,4,0,0,0,0,4,4,0,0,0,0,63.5,208500000
202212,1123002063,1,8,0,0,0,0,0,1,7,0,0,0,0,58.625,224500000
202212,1123002066,2,18,0,0,0,0,14,4,0,0,0,0,0,69.5,194633333.333333333333333333333333333333
202212,1123002067,1,8,0,0,0,0,4,4,0,0,0,0,0,39,128575000
202212,1123002068,2,21,0,0,0,0,0,20,1,0,0,0,0,56.39090909090909090909090909090909090909,345572727.272727272727272727272727272727
202212,1123002071,2,11,12,0,0,0,0,11,12,0,0,0,0,111,393500000
202212,1123002072,4,33,1,0,0,0,13,20,1,0,0,0,0,126.60606060606060606060606060606060606,473178787.878787878787878787878787878789
202212,1123002073,1,11,0,0,0,0,0,0,11,0,0,0,0,47.36363636363636363636363636363636363636,260727272.727272727272727272727272727273
202212,1123002074,2,12,4,0,0,0,0,10,6,0,0,0,0,105.75,391375000
202212,1123002075,3,32,0,0,0,0,8,9,15,0,0,0,0,102.572727272727272727272727272727272727,594909090.909090909090909090909090909091
202212,1123002077,1,11,0,0,0,0,0,11,0,0,0,0,0,54.27272727272727272727272727272727272727,171636363.636363636363636363636363636364
202212,1123002078,6,26,23,6,0,0,18,16,21,0,0,0,0,358.387878787878787878787878787878787879,981712424.242424242424242424242424242424
202212,1123002079,2,16,0,0,0,0,4,12,0,0,0,0,0,96.46666666666666666666666666666666666667,222866666.666666666666666666666666666667
202212,1123002082,2,16,1,0,0,0,0,11,5,1,0,0,0,81.01515151515151515151515151515151515151,414575757.575757575757575757575757575758
202212,1123002084,2,14,6,0,0,0,12,0,8,0,0,0,0,100.375,324991666.666666666666666666666666666667
202212,1123002085,1,0,10,0,0,0,0,10,0,0,0,0,0,67.6,160200000
202212,1123002086,1,12,0,0,0,0,0,12,0,0,0,0,0,51,131000000
202212,1123002088,2,22,0,0,0,0,12,0,10,0,0,0,0,61.43333333333333333333333333333333333333,317958333.333333333333333333333333333333
202212,1123002089,1,10,0,0,0,0,10,0,0,0,0,0,0,13.9,68000000
202212,1123002090,3,22,2,0,0,0,6,18,0,0,0,0,0,156.755555555555555555555555555555555556,359918888.888888888888888888888888888889
202212,1123002091,5,36,1,0,0,0,0,27,9,1,0,0,0,180.372727272727272727272727272727272727,946278787.878787878787878787878787878787
202212,1123002092,2,22,0,0,0,0,11,11,0,0,0,0,0,35.09090909090909090909090909090909090909,204800000
202212,1123002093,1,6,0,0,0,0,2,4,0,0,0,0,0,48.5,104833333.333333333333333333333333333333
202212,1123002094,3,26,1,0,0,0,0,17,9,1,0,0,0,140.02886002886002886002886002886002886,561206349.206349206349206349206349206349
202212,1123002096,1,3,0,0,0,0,0,3,0,0,0,0,0,60.66666666666666666666666666666666666667,169333333.333333333333333333333333333333
202212,1123002099,3,28,0,0,0,0,6,12,10,0,0,0,0,112,418052500
202212,1123002100,7,43,0,2,0,0,4,33,6,2,0,0,0,360.906060606060606060606060606060606061,1225743484.848484848484848484848484848484
202212,1123002101,2,3,8,0,0,0,1,2,8,0,0,0,0,107,356000000
202212,1123002102,1,6,6,0,0,0,6,0,6,0,0,0,0,49.91666666666666666666666666666666666667,158400000
202212,1123002103,1,8,0,0,0,0,0,8,0,0,0,0,0,29.75,163000000
202212,1123002105,3,25,3,0,0,0,0,20,8,0,0,0,0,176.083333333333333333333333333333333333,555750000
202212,1123002106,3,16,11,0,0,0,0,16,11,0,0,0,0,195,589159090.909090909090909090909090909091
202212,1123002107,2,15,0,1,0,0,1,6,8,1,0,0,0,112.366666666666666666666666666666666667,403316666.666666666666666666666666666667
202212,1123002109,2,14,4,0,0,0,1,9,8,0,0,0,0,105.95,374487500
202212,1123002110,4,29,3,1,0,0,21,8,3,1,0,0,0,151.569444444444444444444444444444444444,440347222.222222222222222222222222222222
202212,1123002111,2,18,0,0,0,0,6,12,0,0,0,0,0,44.33333333333333333333333333333333333333,214408333.333333333333333333333333333334
202212,1123002113,1,0,7,4,0,0,0,0,0,0,0,6,5,95.54545454545454545454545454545454545455,616363636.363636363636363636363636363636
202212,1123002114,1,0,0,11,0,0,0,0,0,0,0,0,11,114,665272727.272727272727272727272727272727
