STDR_YM_CD,SUD_CD,VIATR_FCLTY_CO,PBLOFC_CO,BANK_CO,GEHSPT_CO,GNRL_HSPTL_CO,PARMACY_CO,KNDRGR_CO,ELESCH_CO,MSKUL_CO,HGSCHL_CO,UNIV_CO,DRTS_CO,SUPMK_CO,THEAT_CO,STAYNG_FCLTY_CO,ARPRT_CO,RLROAD_STATN_CO,BUS_TRMINL_CO,SUBWAY_STATN_CO,BUS_STTN_CO
202012,1123001287,1,1,,,,,,,,,,,,,,,,,,
202012,1123001292,1,,,,,,,,,,,,,,,,,,,
202012,1123001293,1,,,,,,,,,,,,,,,,,,,
202012,1123001295,3,,,,,,,,,,,,,,,,,,,
202012,1123001298,2,1,,,,,,,,,,,,,,,,,,
202012,1123001301,1,,,,,,,,,,,,,,,,,,,
202012,1123001302,1,,,,,,,,,,,,,,,,,,,
202012,1123001306,3,,,,,1,,,,,,,,,,,,,,
202012,1123001314,1,,,,,,,,,,,,,,,,,,,
202012,1123001319,3,,,,,,,,,,2,,,,,,,,,1
202012,1123001322,1,,,,,,,,,,,,,,,,,,,
202012,1123001325,2,,,,,,,,,,,,,,,,,,,
202012,1123001329,2,,,,,1,,,,,,,,,,,,,,
202012,1123001330,2,,,,,,,,,,,,,,,,,,,
202012,1123001333,6,,,,,,,,,,,,,,,,,,,3
202012,1123001335,1,,,,,,,,,,,,,,,,,,,
202012,1123001336,7,,1,,,1,,,,,,,,,,,,,,3
202012,1123001338,12,,3,,1,1,,,,,,,,,,,,,1,
202012,1123001341,4,,1,,,,,,,,,,,,,,,,,
202012,1123001344,2,,,,,,,,,,,,,,,,,,,
202012,1123001346,6,,1,,,,,,,,,,,,,,,,,3
202012,1123001351,1,,,,,,,,,,,,,,,,,,,
202012,1123001356,1,,,,,,,,,,,,,,,,,,,
202012,1123001358,6,,,,,1,,,,,,,,,,,,,,2
202012,1123001359,1,,,,,,,,,,,,,,,,,,,
202012,1123001365,5,,,,1,1,,,,,,,,,,,,,,2
202012,1123001375,14,,,,,4,,,,,,,,,,,,,,4
202012,1123001378,2,,,,,,,,,,,,,,,,,,,
202012,1123001385,2,,,,1,,,,,,,,,,,,,,,
202012,1123001387,2,,,,,,,,,,,,,,,,,,,2
202012,1123001390,2,,,,,,,,,,,,,,,,,,,
202012,1123001392,1,,,,,,,,,,,,,,,,,,,
202012,1123001393,2,,,,,2,,,,,,,,,,,,,,
202012,1123001400,1,,,,,,,,,,,,,,,,,,,
202012,1123001401,1,,,,,,,1,,,,,,,,,,,,
202012,1123001405,1,,,,,,,,,,,,,,,,,,,1
202012,1123001410,1,,,,,,,,,,,,,,,,,,,
202012,1123001411,1,,,,,,,,,,,,,,,,,,,
202012,1123001415,1,,,,,1,,,,,,,,,,,,,,
202012,1123001416,1,,,,,,,,,,,,,,,,,,,
